pos;artist_name;playlist_index;artist_uri;album_uri;duration_ms_x;album_name;track_uri;track_name;Unnamed: 0;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;type;id;track_href;analysis_url;duration_ms_y;time_signature;chunk_x;genero;chunk_y;Unnamed: 3;loudness_mW
9;OutKast;1;spotify:artist:1G9G7WwrXka3Z1r7aIDjI7;spotify:album:1UsmQ3bpJTyK6ygoOOjG1r;235213;Speakerboxxx/The Love Below;spotify:track:2PpruBYCo4H7WOBJ7Q2EwM;Hey Ya! - Radio Mix / Club Mix;9;0.727;0.974;4;-2.261;0;0.0664;0.103;0.000532;0.174;0.965;79.526;audio_features;2PpruBYCo4H7WOBJ7Q2EwM;https://api.spotify.com/v1/tracks/2PpruBYCo4H7WOBJ7Q2EwM;https://api.spotify.com/v1/audio-analysis/2PpruBYCo4H7WOBJ7Q2EwM;235213;4;1;['atl hip hop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'rap', 'southern hip hop'];1.0;;0.5941553335422147
10;Nelly Furtado;1;spotify:artist:2jw70GZXlAI8QzWeY2bgRc;spotify:album:2yboV2QBcVGEhcRlYuPpDT;242293;Loose;spotify:track:2gam98EZKrF9XuOkU13ApN;Promiscuous;10;0.808;0.97;10;-6.098;0;0.0506;0.0569;6.13e-05;0.154;0.868;114.328;audio_features;2gam98EZKrF9XuOkU13ApN;https://api.spotify.com/v1/tracks/2gam98EZKrF9XuOkU13ApN;https://api.spotify.com/v1/audio-analysis/2gam98EZKrF9XuOkU13ApN;242293;4;1;['canadian latin', 'canadian pop', 'dance pop', 'pop'];1.0;;0.24558396112487016
11;Jesse McCartney;1;spotify:artist:2Hjj68yyUPiC0HKEOigcEp;spotify:album:6022khQj4Fsvvse8f3A4lF;211693;Right Where You Want Me;spotify:track:4Y45aqo9QMa57rDsAJv40A;Right Where You Want Me - Radio Edit Version;11;0.71;0.553;4;-4.722;0;0.0292;0.00206;5.48e-05;0.0469;0.731;99.005;audio_features;4Y45aqo9QMa57rDsAJv40A;https://api.spotify.com/v1/tracks/4Y45aqo9QMa57rDsAJv40A;https://api.spotify.com/v1/audio-analysis/4Y45aqo9QMa57rDsAJv40A;211693;4;1;['dance pop', 'pop', 'post-teen pop'];1.0;;0.33713201787284336
12;Jesse McCartney;1;spotify:artist:2Hjj68yyUPiC0HKEOigcEp;spotify:album:2gidE8vgVOkYufANjuvj3S;214226;Beautiful Soul;spotify:track:1HwpWwa6bnqqRhK8agG4RS;Beautiful Soul;12;0.66;0.666;9;-4.342;1;0.0472;0.0759;0.0;0.0268;0.933;89.975;audio_features;1HwpWwa6bnqqRhK8agG4RS;https://api.spotify.com/v1/tracks/1HwpWwa6bnqqRhK8agG4RS;https://api.spotify.com/v1/audio-analysis/1HwpWwa6bnqqRhK8agG4RS;214227;4;1;['dance pop', 'pop', 'post-teen pop'];1.0;;0.3679594830147844
13;Jesse McCartney;1;spotify:artist:2Hjj68yyUPiC0HKEOigcEp;spotify:album:2tDCfKFy2YW9N0IwNSRdOJ;216880;Departure - Recharged;spotify:track:20ORwCJusz4KS2PbTPVNKo;Leavin';13;0.687;0.71;9;-5.84;1;0.0522;0.0283;3.71e-06;0.0689;0.886;79.235;audio_features;20ORwCJusz4KS2PbTPVNKo;https://api.spotify.com/v1/tracks/20ORwCJusz4KS2PbTPVNKo;https://api.spotify.com/v1/audio-analysis/20ORwCJusz4KS2PbTPVNKo;216880;4;1;['dance pop', 'pop', 'post-teen pop'];1.0;;0.2606153549998896
14;Cassie;1;spotify:artist:27FGXRNruFoOdf1vP8dqcH;spotify:album:0j1qzjaJmsF1FkcICf3hRu;192213;Cassie;spotify:track:7k6IzwMGpxnRghE7YosnXT;Me & U;14;0.803;0.454;8;-4.802;0;0.0294;0.352;0.0;0.0655;0.739;99.99;audio_features;7k6IzwMGpxnRghE7YosnXT;https://api.spotify.com/v1/tracks/7k6IzwMGpxnRghE7YosnXT;https://api.spotify.com/v1/audio-analysis/7k6IzwMGpxnRghE7YosnXT;192213;4;1;['dance pop', 'hip pop', 'pop rap', 'r&b', 'urban contemporary'];1.0;;0.3309786650728407
15;Omarion;1;spotify:artist:0f5nVCcR06GX8Qikz0COtT;spotify:album:4cVVEOXyUaWo7vlDWIkKsI;256426;21;spotify:track:1Bv0Yl01xBDZD4OQP93fyl;Ice Box;15;0.775;0.731;8;-5.446;1;0.134;0.189;0.0;0.129;0.821;131.103;audio_features;1Bv0Yl01xBDZD4OQP93fyl;https://api.spotify.com/v1/tracks/1Bv0Yl01xBDZD4OQP93fyl;https://api.spotify.com/v1/audio-analysis/1Bv0Yl01xBDZD4OQP93fyl;256427;4;1;['dance pop', 'hip pop', 'r&b', 'rap', 'southern hip hop', 'trap', 'urban contemporary'];1.0;;0.28536453620049657
16;Avril Lavigne;1;spotify:artist:0p4nmQO2msCgU4IF37Wi3j;spotify:album:7h6XeTzy0SRXDrFJeA9gO7;204000;Let Go;spotify:track:4omisSlTk6Dsq2iQD7MA07;Sk8er Boi;16;0.487;0.9;0;-4.417;1;0.0482;6.79e-05;0.0;0.358;0.484;149.937;audio_features;4omisSlTk6Dsq2iQD7MA07;https://api.spotify.com/v1/tracks/4omisSlTk6Dsq2iQD7MA07;https://api.spotify.com/v1/audio-analysis/4omisSlTk6Dsq2iQD7MA07;204000;4;1;['canadian pop', 'candy pop', 'dance pop', 'pop'];1.0;;0.3616596019752458
17;Chris Brown;1;spotify:artist:7bXgB6jMjp9ATFy66eO08Z;spotify:album:49gaz5rhWWgqCw61M9700v;229866;Chris Brown;spotify:track:7xYnUQigPoIDAMPVK79NEq;Run It!;17;0.846;0.482;1;-6.721;0;0.129;0.0246;0.0;0.393;0.212;100.969;audio_features;7xYnUQigPoIDAMPVK79NEq;https://api.spotify.com/v1/tracks/7xYnUQigPoIDAMPVK79NEq;https://api.spotify.com/v1/audio-analysis/7xYnUQigPoIDAMPVK79NEq;229867;4;1;['r&b', 'rap'];1.0;;0.2127649080269954
18;Beyoncé;1;spotify:artist:6vWDO969PvNqNYHIOW5v0m;spotify:album:3MJHoQUI828kmB6IpjejbW;210453;B'Day;spotify:track:6d8A5sAx9TfdeseDvfWNHd;Check On It - feat. Bun B and Slim Thug;18;0.705;0.796;7;-6.845;1;0.267;0.0708;0.0;0.388;0.864;166.042;audio_features;6d8A5sAx9TfdeseDvfWNHd;https://api.spotify.com/v1/tracks/6d8A5sAx9TfdeseDvfWNHd;https://api.spotify.com/v1/audio-analysis/6d8A5sAx9TfdeseDvfWNHd;210453;4;1;['pop', 'r&b'];1.0;;0.20677593819194395
19;Destiny's Child;1;spotify:artist:1Y8cdNmUJH7yBTd9yOvr5i;spotify:album:283NWqNsCA9GwVHrJk59CG;230200;The Writing's On The Wall;spotify:track:4pmc2AxSEq6g7hPVlJCPyP;Jumpin', Jumpin';19;0.771;0.685;1;-4.639;1;0.0567;0.00543;0.00157;0.0537;0.683;88.997;audio_features;4pmc2AxSEq6g7hPVlJCPyP;https://api.spotify.com/v1/tracks/4pmc2AxSEq6g7hPVlJCPyP;https://api.spotify.com/v1/audio-analysis/4pmc2AxSEq6g7hPVlJCPyP;230200;4;1;['dance pop', 'girl group', 'pop', 'r&b', 'urban contemporary'];1.0;;0.3436370641490612
20;Sheryl Crow;1;spotify:artist:4TKTii6gnOnUXQHyuo9JaD;spotify:album:5NYcTXrRZHxNyRKVOd0vs1;292306;C'Mon C'Mon;spotify:track:215JYyyUnrJ98NK3KEwu6d;Soak Up The Sun;20;0.717;0.733;4;-4.985;1;0.0427;0.0398;0.0;0.136;0.713;119.996;audio_features;215JYyyUnrJ98NK3KEwu6d;https://api.spotify.com/v1/tracks/215JYyyUnrJ98NK3KEwu6d;https://api.spotify.com/v1/audio-analysis/215JYyyUnrJ98NK3KEwu6d;292307;4;1;['lilith', 'new wave pop', 'permanent wave', 'pop rock', 'singer-songwriter'];1.0;;0.3173218663836143
21;The Black Eyed Peas;1;spotify:artist:1yxSLGMDHlW21z4YXirZDS;spotify:album:1bNyYpkDRovmErm4QeDrpJ;272533;Elephunk;spotify:track:0uqPG793dkDDN7sCUJJIVC;Where Is The Love?;21;0.835;0.687;5;-3.18;1;0.184;0.101;0.0;0.132;0.828;94.059;audio_features;0uqPG793dkDDN7sCUJJIVC;https://api.spotify.com/v1/tracks/0uqPG793dkDDN7sCUJJIVC;https://api.spotify.com/v1/audio-analysis/0uqPG793dkDDN7sCUJJIVC;272533;4;1;['dance pop', 'pop', 'pop rap'];1.0;;0.48083934844972853
22;Bowling For Soup;1;spotify:artist:5ND0mGcL9SKSjWIjPd0xIb;spotify:album:3Q7xpHmP8k3HryE0LQdIk0;193042;I've Never Done Anything Like This;spotify:track:19Js5ypV6JKn4DMExHQbGc;Stacy's Mom;22;0.728;0.801;4;-3.636;1;0.0752;0.00349;0.000195;0.0907;0.813;119.989;audio_features;19Js5ypV6JKn4DMExHQbGc;https://api.spotify.com/v1/tracks/19Js5ypV6JKn4DMExHQbGc;https://api.spotify.com/v1/audio-analysis/19Js5ypV6JKn4DMExHQbGc;193043;4;1;['neon pop punk', 'pop punk', 'pop rock', 'texas pop punk'];1.0;;0.4329123745028264
23;The Click Five;1;spotify:artist:01lz5VBfkMFDteSA9pKJuP;spotify:album:7gZilZGYr8M7UwEeYvdAKZ;234146;Greetings From Imrie House;spotify:track:1JURww012QnWAw0zZXi6Aa;Just The Girl;23;0.571;0.89;9;-1.6;1;0.0395;0.00509;0.0;0.0769;0.751;110.958;audio_features;1JURww012QnWAw0zZXi6Aa;https://api.spotify.com/v1/tracks/1JURww012QnWAw0zZXi6Aa;https://api.spotify.com/v1/audio-analysis/1JURww012QnWAw0zZXi6Aa;234147;4;1;['boy band', 'neon pop punk', 'pixie'];1.0;;0.6918309709189365
24;Chris Brown;1;spotify:artist:7bXgB6jMjp9ATFy66eO08Z;spotify:album:49gaz5rhWWgqCw61M9700v;229040;Chris Brown;spotify:track:7DFnq8FYhHMCylykf6ZCxA;Yo (Excuse Me Miss);24;0.536;0.612;4;-5.847;1;0.272;0.119;0.0;0.209;0.57;86.768;audio_features;7DFnq8FYhHMCylykf6ZCxA;https://api.spotify.com/v1/tracks/7DFnq8FYhHMCylykf6ZCxA;https://api.spotify.com/v1/audio-analysis/7DFnq8FYhHMCylykf6ZCxA;229040;4;1;['r&b', 'rap'];1.0;;0.2601956310263153
25;Jonas Brothers;1;spotify:artist:7gOdHgIoIKoe4i9Tta6qdD;spotify:album:20RAjvZ9LX2FDuDU8RDuIl;201960;Jonas Brothers;spotify:track:1TfAhjzRBWzYZ8IdUV3igl;Year 3000;25;0.659;0.869;11;-5.858;1;0.046;0.00357;0.0;0.302;0.811;106.966;audio_features;1TfAhjzRBWzYZ8IdUV3igl;https://api.spotify.com/v1/tracks/1TfAhjzRBWzYZ8IdUV3igl;https://api.spotify.com/v1/audio-analysis/1TfAhjzRBWzYZ8IdUV3igl;201960;4;1;['boy band', 'pop'];1.0;;0.25953743009880925
26;Lil Mama;1;spotify:artist:5qK5bOC6wLtuLhG5KvU17c;spotify:album:3vgVsm9GY3i39fZ7b1sqV5;219773;Lip Gloss;spotify:track:1Y4ZdPOOgCUhBcKZOrUFiS;Lip Gloss;26;0.619;0.87;2;-4.956;1;0.501;0.41;1.37e-06;0.0571;0.94;188.772;audio_features;1Y4ZdPOOgCUhBcKZOrUFiS;https://api.spotify.com/v1/tracks/1Y4ZdPOOgCUhBcKZOrUFiS;https://api.spotify.com/v1/audio-analysis/1Y4ZdPOOgCUhBcKZOrUFiS;219773;4;1;[];1.0;;0.31944787242086914
27;Cascada;1;spotify:artist:0N0d3kjwdY2h7UVuTdJGfp;spotify:album:5DvuKZTzEKjm0oUuhP237C;199120;Everytime We Touch;spotify:track:6MjljecHzHelUDismyKkba;Everytime We Touch - Radio Edit;27;0.624;0.976;8;-5.355;1;0.0494;0.004;1.18e-05;0.376;0.514;142.008;audio_features;6MjljecHzHelUDismyKkba;https://api.spotify.com/v1/tracks/6MjljecHzHelUDismyKkba;https://api.spotify.com/v1/audio-analysis/6MjljecHzHelUDismyKkba;199120;4;1;['eurodance', 'europop', 'german techno', 'melbourne bounce international'];1.0;;0.2914070134770805
28;Jason Derulo;1;spotify:artist:07YZf4WDAMNwqr4jfgOZ8y;spotify:album:0aVJmVAeEx78nAA1rAKYf7;221253;Jason Derulo;spotify:track:67T6l4q3zVjC5nZZPXByU8;Whatcha Say;28;0.615;0.711;11;-5.507;1;0.0779;0.0444;0.0;0.145;0.711;144.036;audio_features;67T6l4q3zVjC5nZZPXByU8;https://api.spotify.com/v1/tracks/67T6l4q3zVjC5nZZPXByU8;https://api.spotify.com/v1/audio-analysis/67T6l4q3zVjC5nZZPXByU8;221253;4;1;['dance pop', 'pop'];1.0;;0.28138438937124854
29;Ne-Yo;1;spotify:artist:21E3waRsmPlU7jZsS13rcj;spotify:album:6dTn9vJSxVTIGm4Cu5dH4x;232000;Year Of The Gentleman;spotify:track:34ceTg8ChN5HjrqiIYCn9Q;Miss Independent;29;0.673;0.683;1;-5.693;1;0.115;0.522;0.0;0.235;0.713;171.86;audio_features;34ceTg8ChN5HjrqiIYCn9Q;https://api.spotify.com/v1/tracks/34ceTg8ChN5HjrqiIYCn9Q;https://api.spotify.com/v1/audio-analysis/34ceTg8ChN5HjrqiIYCn9Q;232000;4;1;['dance pop', 'pop', 'r&b', 'urban contemporary'];1.0;;0.26958765435574455
30;Miley Cyrus;1;spotify:artist:5YGY8feqx7naU7z4HrwZM6;spotify:album:64aKkqxc3Ur2LYIKeS5osS;202066;The Time Of Our Lives;spotify:track:5Q0Nhxo0l2bP3pNjpGJwV1;Party In The U.S.A.;30;0.652;0.698;10;-4.667;0;0.042;0.00112;0.000115;0.0886;0.47;96.021;audio_features;5Q0Nhxo0l2bP3pNjpGJwV1;https://api.spotify.com/v1/tracks/5Q0Nhxo0l2bP3pNjpGJwV1;https://api.spotify.com/v1/audio-analysis/5Q0Nhxo0l2bP3pNjpGJwV1;202067;4;1;['pop'];1.0;;0.34142868075796884
30;Miley Cyrus;1;spotify:artist:5YGY8feqx7naU7z4HrwZM6;spotify:album:64aKkqxc3Ur2LYIKeS5osS;202066;The Time Of Our Lives;spotify:track:5Q0Nhxo0l2bP3pNjpGJwV1;Party In The U.S.A.;99;0.652;0.698;10;-4.667;0;0.042;0.00112;0.000115;0.0886;0.47;96.021;audio_features;5Q0Nhxo0l2bP3pNjpGJwV1;https://api.spotify.com/v1/tracks/5Q0Nhxo0l2bP3pNjpGJwV1;https://api.spotify.com/v1/audio-analysis/5Q0Nhxo0l2bP3pNjpGJwV1;202067;4;3;['pop'];1.0;;0.34142868075796884
31;Boys Like Girls;1;spotify:artist:0vWCyXMrrvMlCcepuOJaGI;spotify:album:4WqgusSAgXkrjbXzqdBY68;206520;Boys Like Girls;spotify:track:6GIrIt2M39wEGwjCQjGChX;The Great Escape;31;0.423;0.94;1;-4.012;0;0.0635;0.00166;0.0;0.178;0.505;149.934;audio_features;6GIrIt2M39wEGwjCQjGChX;https://api.spotify.com/v1/tracks/6GIrIt2M39wEGwjCQjGChX;https://api.spotify.com/v1/audio-analysis/6GIrIt2M39wEGwjCQjGChX;206520;4;1;['neon pop punk', 'pop punk'];1.0;;0.39700867811218404
31;Boys Like Girls;1;spotify:artist:0vWCyXMrrvMlCcepuOJaGI;spotify:album:4WqgusSAgXkrjbXzqdBY68;206520;Boys Like Girls;spotify:track:6GIrIt2M39wEGwjCQjGChX;The Great Escape;51;0.423;0.94;1;-4.012;0;0.0635;0.00166;0.0;0.178;0.505;149.934;audio_features;6GIrIt2M39wEGwjCQjGChX;https://api.spotify.com/v1/tracks/6GIrIt2M39wEGwjCQjGChX;https://api.spotify.com/v1/audio-analysis/6GIrIt2M39wEGwjCQjGChX;206520;4;1;['neon pop punk', 'pop punk'];1.0;;0.39700867811218404
32;Iyaz;1;spotify:artist:5tKXB9uuebKE34yowVaU3C;spotify:album:44hyrGuZKAvITbmrlhryf8;182306;Replay;spotify:track:4E5P1XyAFtrjpiIxkydly4;Replay;32;0.706;0.751;9;-6.323;1;0.0708;0.173;0.0;0.168;0.195;91.031;audio_features;4E5P1XyAFtrjpiIxkydly4;https://api.spotify.com/v1/tracks/4E5P1XyAFtrjpiIxkydly4;https://api.spotify.com/v1/audio-analysis/4E5P1XyAFtrjpiIxkydly4;182307;4;1;['dance pop', 'pop rap', 'post-teen pop'];1.0;;0.23318467231570925
33;Chris Brown;1;spotify:artist:7bXgB6jMjp9ATFy66eO08Z;spotify:album:1UtE4zAlSE2TlKmTFgrTg5;277106;Exclusive - The Forever Edition;spotify:track:3H1LCvO3fVsK2HPguhbml0;Forever;33;0.669;0.822;11;-4.288;1;0.043;0.0339;0.000142;0.231;0.43;120.011;audio_features;3H1LCvO3fVsK2HPguhbml0;https://api.spotify.com/v1/tracks/3H1LCvO3fVsK2HPguhbml0;https://api.spotify.com/v1/audio-analysis/3H1LCvO3fVsK2HPguhbml0;277107;4;1;['r&b', 'rap'];1.0;;0.3725632384666037
33;Chris Brown;1;spotify:artist:7bXgB6jMjp9ATFy66eO08Z;spotify:album:1UtE4zAlSE2TlKmTFgrTg5;277106;Exclusive - The Forever Edition;spotify:track:3H1LCvO3fVsK2HPguhbml0;Forever;22;0.669;0.822;11;-4.288;1;0.043;0.0339;0.000142;0.231;0.43;120.011;audio_features;3H1LCvO3fVsK2HPguhbml0;https://api.spotify.com/v1/tracks/3H1LCvO3fVsK2HPguhbml0;https://api.spotify.com/v1/audio-analysis/3H1LCvO3fVsK2HPguhbml0;277107;4;4;['r&b', 'rap'];1.0;;0.3725632384666037
34;Kesha;1;spotify:artist:6LqNN22kT3074XbTVUrhzX;spotify:album:5peRwC6pQh8eaoIPtvmmOB;187133;Animal;spotify:track:3uoQULcUWfnt6nc6J7Vgai;Your Love Is My Drug;34;0.829;0.627;1;-3.928;1;0.0759;0.00663;0.0;0.0939;0.72;120.048;audio_features;3uoQULcUWfnt6nc6J7Vgai;https://api.spotify.com/v1/tracks/3uoQULcUWfnt6nc6J7Vgai;https://api.spotify.com/v1/audio-analysis/3uoQULcUWfnt6nc6J7Vgai;187133;4;1;['dance pop', 'pop'];1.0;;0.40476224868787347
35;Ne-Yo;1;spotify:artist:21E3waRsmPlU7jZsS13rcj;spotify:album:1nv3KEXZPmcwOXMoLTs1vn;234360;Year Of The Gentleman;spotify:track:2nbClS09zsIAqNkshg6jnp;Closer;35;0.709;0.745;4;-6.437;0;0.0738;0.0225;5.2e-05;0.154;0.576;126.027;audio_features;2nbClS09zsIAqNkshg6jnp;https://api.spotify.com/v1/tracks/2nbClS09zsIAqNkshg6jnp;https://api.spotify.com/v1/audio-analysis/2nbClS09zsIAqNkshg6jnp;234360;4;1;['dance pop', 'pop', 'r&b', 'urban contemporary'];1.0;;0.22714333606565065
36;Justin Bieber;1;spotify:artist:1uNFoZAHBGtllmzznpCI3s;spotify:album:1rG5TDs3jYh6OU753I54CI;229106;My World;spotify:track:69ghzc538EQSVon2Gm3wrr;One Less Lonely Girl;36;0.58;0.75;4;-4.421;1;0.194;0.159;0.0;0.274;0.728;86.938;audio_features;69ghzc538EQSVon2Gm3wrr;https://api.spotify.com/v1/tracks/69ghzc538EQSVon2Gm3wrr;https://api.spotify.com/v1/audio-analysis/69ghzc538EQSVon2Gm3wrr;229107;4;1;['canadian pop', 'pop'];1.0;;0.3613266545234518
37;M.I.A.;1;spotify:artist:0QJIPDAEDILuo8AIq3pMuU;spotify:album:1Lymt1abGCr3J06bbnmWca;203760;Kala;spotify:track:1kusepF3AacIEtUTYrw4GV;Paper Planes;37;0.447;0.848;2;-6.175;1;0.222;0.033;7.45e-05;0.722;0.485;172.247;audio_features;1kusepF3AacIEtUTYrw4GV;https://api.spotify.com/v1/tracks/1kusepF3AacIEtUTYrw4GV;https://api.spotify.com/v1/audio-analysis/1kusepF3AacIEtUTYrw4GV;203760;4;1;['escape room', 'indietronica', 'new rave'];1.0;;0.2412681532591634
38;The Killers;1;spotify:artist:0C0XlULifJtAgn6ZNCW2eu;spotify:album:4undIeGmofnAYKhnDclN1w;222586;Hot Fuss;spotify:track:7oK9VyNzrYvRFo7nQEYkWN;Mr. Brightside;38;0.356;0.924;1;-3.74;1;0.0808;0.00101;0.0;0.0953;0.232;148.017;audio_features;7oK9VyNzrYvRFo7nQEYkWN;https://api.spotify.com/v1/tracks/7oK9VyNzrYvRFo7nQEYkWN;https://api.spotify.com/v1/audio-analysis/7oK9VyNzrYvRFo7nQEYkWN;222587;4;1;['alternative rock', 'dance rock', 'modern rock', 'permanent wave', 'rock'];1.0;;0.422668614265603
